AgentId,TriggerSchemaName,MetricDate,Total Autonomous Runs per trigger,Number of successful runs per trigger,Number of failed runs per trigger,Total duration of all runs per trigger,Total duration of all successful runs per trigger,Total duration of all failed runs per trigger,Number of successful runs with knowledge sources used per trigger,Number of failed runs with knowledge sources used per trigger,Number of successful runs with actions used per trigger,Number of failed runs with actions used per trigger,Number of successful runs where no operation ( use of an action or knowledge source access) was done per trigger,Number of failed runs where no operation ( use of an action or knowledge source access) was done per trigger
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-02-01,171,0,171,912,0,912,0,0,0,171,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-02-01,29,29,0,1562,1562,0,0,0,0,0,29,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,c0f8c8f0-a8c7-7743-d014-fd00baee6dc6,2026-02-01,1,1,0,6,6,0,0,0,0,0,1,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,c0f8c8f0-a8c7-7743-d014-fd00baee6dc6,2026-02-08,1,1,0,6,6,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-02-08,2,2,0,28,28,0,0,0,2,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-02-08,1,1,0,82,82,0,0,0,0,0,1,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-02-08,294,0,294,1371,0,1371,0,0,0,294,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-02-08,7,7,0,148,148,0,4,0,7,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-02-15,7,7,0,144,144,0,4,0,7,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-02-15,275,0,275,1515,0,1515,0,0,0,275,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-02-15,1,1,0,74,74,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-02-15,5,5,0,70,70,0,0,0,5,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-02-22,1,1,0,14,14,0,0,0,1,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-02-22,12,12,0,803,803,0,0,0,0,0,12,0
bafdecf0-bff2-afee-ee8a-0e22c63d41b7,crad4_emailDraftAssistant.ExternalTriggerComponent.Whenanewemail.2b9267a5-8403-4158-9af9-8ce4b7e1a35,2026-02-22,10,10,0,54,54,0,0,0,10,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-02-22,246,1,245,1610,8,1602,0,0,1,245,0,0
8a775919-f949-ab5c-5171-99d06151136e,ca_agent49-_5o.ExternalTriggerComponent.RecurringCopilotTrigger.e50706e7-491a-43de-835d-9d7bcd58150c,2026-02-22,4,4,0,453,453,0,0,0,0,0,4,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-02-22,7,7,0,131,131,0,4,0,6,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,64b90430-25a5-437f-5f2b-6f4511294ec1,2026-02-22,74,74,0,5990,5990,0,0,0,0,0,74,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-03-01,1,1,0,76,76,0,0,0,0,0,1,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.ExternalTriggerComponent.Wh.4849486f-5e95-4e23-9741-594051ad508,2026-03-01,19,19,0,666,666,0,0,0,19,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-03-01,1,1,0,11,11,0,0,0,1,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,ca_agent49-_5o.ExternalTriggerComponent.RecurringCopilotTrigger.e50706e7-491a-43de-835d-9d7bcd58150c,2026-03-01,7,7,0,628,628,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-03-01,213,0,213,1209,0,1209,0,0,0,213,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-03-01,7,7,0,125,125,0,4,0,7,0,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,crad4_leaNaLeadNotifierAgent.ExternalTriggerComponent.WhenaLeadE.579cad1b-28c0-4d66-a287-c0518b8f647,2026-03-01,79,79,0,4106,4106,0,0,0,79,0,0,0
