AgentId,MetricDate,Total Autonomous Runs,Number of successful runs,Number of failed runs,Total duration of all runs,Total duration of all successful runs,Total duration of all failed runs,Number of successful runs with knowledge sources used,Number of failed runs with knowledge sources used,Number of successful runs with actions used,Number of failed runs with actions used,Number of successful runs with no external operations,Number of failed runs with no external operations
33e839ea-074e-e138-16dc-4a867812860d,2026-03-01,7,7,0,125,125,0,4,0,7,0,0,0
11c98121-b090-86f2-e35e-095856ee3c17,2026-03-08,18,17,1,160,158,2,17,0,0,1,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-08,7,7,0,129,129,0,4,0,6,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-08,14,14,0,478,478,0,0,0,14,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-08,1,1,0,18,18,0,0,0,1,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-08,195,0,195,1042,0,1042,0,0,0,195,0,0
f84c090b-cfb5-79fa-e66a-68bedca65fdc,2026-03-08,3,3,0,18,18,0,0,0,0,0,3,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-08,7,7,0,549,549,0,0,0,0,0,7,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-15,7,7,0,121,121,0,3,0,5,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-03-15,139,53,86,687,359,328,0,0,53,86,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-15,302,1,301,1697,2,1695,0,0,0,301,1,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-15,7,6,1,526,465,61,0,0,0,0,6,1
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-03-15,1,1,0,65,65,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-15,1,1,0,12,12,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-15,11,11,0,384,384,0,0,0,11,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-22,288,0,288,1580,0,1580,0,0,0,288,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-22,7,7,0,572,572,0,0,0,0,0,7,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-22,14,14,0,543,543,0,0,0,14,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-03-22,3,3,0,195,195,0,0,0,0,0,3,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-22,1,1,0,14,14,0,0,0,1,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-03-22,7,7,0,123,123,0,1,0,6,0,0,0
6cbc666c-cfc2-e9da-e331-b0b1075102f1,2026-03-22,9,7,2,57,38,19,0,0,0,0,7,2
ae1d0e66-b31b-4998-0714-fb17703e1f21,2026-03-22,162,54,108,797,354,443,0,0,54,108,0,0
