AgentId,ActionSchemaName,MetricDate,Total Runs per action,Number of successful actions in runs,Number of actions in successful runs,Number of successful actions in successful runs
308b83d4-b963-0f10-c220-dacf9cd5f2ad,copilots_header_fab82.action.SharePoint-Listrootfolder,2026-03-22,12,5,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_D41,2026-03-22,5,5,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults,2026-03-22,5,1,0,0
d19e3da9-341b-85b0-2815-36709f1edcbd,copilots_header_fab82.action.SharePoint-Listrootfolder,2026-03-22,3,3,0,0
adf47dbf-5916-88be-11a7-7eb66c134364,copilots_header_81655.action.ExcelExtractFlow,2026-03-22,2,2,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.action.SharePoint-Getfilecontent,2026-03-22,14,14,14,14
cf990179-095f-576b-1d8d-e7811941904c,crad4_scoutAccountAssistant.action.AzureSQLDataWarehouse-ExecuteaSQLqueryV2,2026-03-22,9,5,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_0pv~ListAccounts,2026-03-22,8,6,0,0
cf990179-095f-576b-1d8d-e7811941904c,crad4_scoutAccountAssistant.action.AzureSQLDataWarehouse-ExecuteaSQLqueryV2_mZc,2026-03-22,15,11,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_xcy,2026-03-22,3,3,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_UL4,2026-03-22,3,3,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_FIN,2026-03-22,1,1,0,0
8a5a76d3-32a9-efa4-a73a-b08d003b6c5f,copilots_header_fab82.action.SharePoint-Listrootfolder,2026-03-22,3,0,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_Pjb,2026-03-22,1,1,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,auto_agent_xfbks.action.Office365Outlook-AssignsanOutlookcategory,2026-03-22,165,57,54,54
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_wXQ,2026-03-22,1,1,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_u6H,2026-03-22,4,4,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_ZWj,2026-03-22,2,2,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_0pv,2026-03-22,11,4,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_p7u,2026-03-22,2,2,0,0
df66b318-4bbd-6dcb-d6dd-6aaf07eb7275,crad4_agentTm9sB-.action.SQLServer-ExecuteaSQLqueryV2,2026-03-22,301,283,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-03-22,288,0,0,0
aafe92e4-b32d-77f4-09ef-1d131aa5787e,cre4a_regulatoryDev.action.AzureDevOps-Searchforworkitems,2026-03-22,1,1,0,0
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Listworkitems,2026-03-22,1,0,0,0
deffc94e-2085-a2d0-1ac6-37bf55b759c9,copilots_header_fab82.action.SharePoint-Listrootfolder,2026-03-22,3,3,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-03-22,181,181,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-03-22,6,6,6,6
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-03-22,1,1,1,1
df66b318-4bbd-6dcb-d6dd-6aaf07eb7275,crad4_agentTm9sB-.action.SQLServer-ExecuteaSQLqueryV2,2026-03-29,91,77,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-03-29,221,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-03-29,154,154,0,0
3700af0b-5279-d5ef-2aca-92c5c507e85c,crad4_agentqsNQhk.action.AzureSQLDataWarehouse-ExecuteaSQLqueryV2,2026-03-29,1,0,0,0
cf990179-095f-576b-1d8d-e7811941904c,crad4_scoutAccountAssistant.action.AzureSQLDataWarehouse-ExecuteaSQLqueryV2,2026-03-29,1,1,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-03-29,1,1,1,1
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-03-29,2,2,2,2
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_ZWj,2026-03-29,1,1,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.action.SharePoint-Getfilecontent,2026-03-29,52,52,52,52
74ea7f1c-90a4-6c8f-b363-e531912d7422,crad4_agentA4gk7m.action.AzureDevOps-Getqueryresults_xcy,2026-03-29,1,1,0,0
cf990179-095f-576b-1d8d-e7811941904c,crad4_scoutAccountAssistant.action.AzureSQLDataWarehouse-ExecuteaSQLqueryV2_mZc,2026-03-29,1,0,0,0
98e53774-1f18-e88c-9de2-07331d654981,crad4_uiPathErrorHelper.action.MicrosoftTeams-Replywithamessageinachannel,2026-03-29,3,0,0,0
3700af0b-5279-d5ef-2aca-92c5c507e85c,crad4_agentqsNQhk.action.AzureSQLDataWarehouse-ExecuteaSQLqueryV2_REF,2026-03-29,1,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,auto_agent_xfbks.action.Office365Outlook-AssignsanOutlookcategory,2026-03-29,146,60,59,59
3f0a5559-0596-3fe5-aa0f-59899cb9169f,crad4_leaNaLeadNotifierAgent.action.Office365Outlook-SendanemailV2,2026-03-29,11,11,11,11
98e53774-1f18-e88c-9de2-07331d654981,crad4_uiPathErrorHelper.action.MicrosoftTeams-Replywithamessageinachannel,2026-04-05,1,0,0,0
a7f32d9d-7ed5-e83b-e100-04b87adeabcd,copilots_header_d2c0d.action.ServiceNow-ListRecords,2026-04-05,4,2,0,0
